,Date,Time,Off.Wrist.Status,Activity,Marker,White.Light,Red.Light,Green.Light,Blue.Light,Sleep.Wake,Interval.Status
115,4/8/2021,1:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
116,4/8/2021,1:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
117,4/8/2021,1:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
118,4/8/2021,1:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
119,4/8/2021,1:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
120,4/8/2021,1:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
121,4/8/2021,2:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
122,4/8/2021,2:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
123,4/8/2021,2:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
124,4/8/2021,2:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
125,4/8/2021,2:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
126,4/8/2021,2:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
127,4/8/2021,3:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
128,4/8/2021,3:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
129,4/8/2021,3:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
130,4/8/2021,3:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
131,4/8/2021,3:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
132,4/8/2021,3:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
133,4/8/2021,4:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
134,4/8/2021,4:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
135,4/8/2021,4:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
136,4/8/2021,4:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
137,4/8/2021,4:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
138,4/8/2021,4:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
139,4/8/2021,5:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
140,4/8/2021,5:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
141,4/8/2021,5:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
142,4/8/2021,5:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
143,4/8/2021,5:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
144,4/8/2021,5:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
145,4/8/2021,6:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
146,4/8/2021,6:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
147,4/8/2021,6:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
148,4/8/2021,6:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
149,4/8/2021,6:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
150,4/8/2021,6:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
151,4/8/2021,7:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
152,4/8/2021,7:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
153,4/8/2021,7:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
154,4/8/2021,7:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
155,4/8/2021,7:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
156,4/8/2021,7:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
157,4/8/2021,8:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
158,4/8/2021,8:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
159,4/8/2021,8:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
160,4/8/2021,8:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
161,4/8/2021,8:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
162,4/8/2021,8:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
163,4/8/2021,9:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
164,4/8/2021,9:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
165,4/8/2021,9:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
166,4/8/2021,9:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
167,4/8/2021,9:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
168,4/8/2021,9:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
169,4/8/2021,10:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
170,4/8/2021,10:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
171,4/8/2021,10:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
172,4/8/2021,10:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
173,4/8/2021,10:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
174,4/8/2021,10:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
175,4/8/2021,11:00:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
176,4/8/2021,11:10:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
177,4/8/2021,11:20:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
178,4/8/2021,11:30:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
179,4/8/2021,11:40:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
180,4/8/2021,11:50:00 PM,1,NA,NA,NA,NA,NA,NA,NA,NA
181,4/9/2021,12:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
182,4/9/2021,12:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
183,4/9/2021,12:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
184,4/9/2021,12:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
185,4/9/2021,12:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
186,4/9/2021,12:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
187,4/9/2021,1:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
188,4/9/2021,1:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
189,4/9/2021,1:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
190,4/9/2021,1:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
191,4/9/2021,1:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
192,4/9/2021,1:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
193,4/9/2021,2:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
194,4/9/2021,2:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
195,4/9/2021,2:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
196,4/9/2021,2:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
197,4/9/2021,2:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
198,4/9/2021,2:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
199,4/9/2021,3:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
200,4/9/2021,3:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
201,4/9/2021,3:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
202,4/9/2021,3:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
203,4/9/2021,3:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
204,4/9/2021,3:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
205,4/9/2021,4:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
206,4/9/2021,4:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
207,4/9/2021,4:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
208,4/9/2021,4:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
209,4/9/2021,4:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
210,4/9/2021,4:50:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
211,4/9/2021,5:00:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
212,4/9/2021,5:10:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
213,4/9/2021,5:20:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
214,4/9/2021,5:30:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
215,4/9/2021,5:40:00 AM,1,NA,NA,NA,NA,NA,NA,NA,NA
